Fechas,Trimestre,Año,Mes,Día,Estación,Precios Bolsa,Precios Caja,Temp Max,Temp Min,Humedad,Precipitaciones,Masa ingreso Bolsa(T),Masa ingreso Caja(T),Incendio Forestal,Lluvias Intensas,Inundacion,Huaico,Fenomeno_Niño
2024-03-22,1,2024,marzo,22,otoño,1.67,1.74,36.2,24.2,64.9,0,373,12,0,0,0,0,1
2024-03-23,1,2024,marzo,23,otoño,1.61,1.68,30.8,23.8,72.2,0,,,0,0,0,0,1
2024-03-24,1,2024,marzo,24,otoño,1.61,1.68,32.4,22.8,72.9,0,168,23,0,0,0,0,1
2024-03-25,1,2024,marzo,25,otoño,1.67,1.74,37,22.2,64,0,1071,31,0,0,0,0,1
2024-03-26,1,2024,marzo,26,otoño,1.64,1.72,36,23.4,65,0,123,,0,0,0,0,1
2024-03-27,1,2024,marzo,27,otoño,1.64,1.72,35.8,22.8,63.1,0,16,,0,0,0,0,1
2024-03-28,1,2024,marzo,28,otoño,1.86,02.01,34.4,21.6,64.2,0,1073,92,0,0,0,0,1
2024-03-29,1,2024,marzo,29,otoño,1.86,02.01,36.2,22.4,62.8,0,,,0,0,0,0,1
2024-03-30,1,2024,marzo,30,otoño,1.89,02.07,35.2,22.8,64.9,0,,,0,0,0,0,1
2024-03-31,1,2024,marzo,31,otoño,1.89,02.07,35.2,24,63.8,0,28,,0,0,0,0,1
2024-04-01,2,2024,abril,1,otoño,1.86,1.96,34.4,22.8,63.3,0,785,1,0,0,0,0,1
2024-04-02,2,2024,abril,2,otoño,2,02.07,31.2,23.2,63.8,0,58,26,0,0,0,0,1
2024-04-03,2,2024,abril,3,otoño,2,02.07,36,23.8,57.6,0,5,,0,0,0,0,1
2024-04-04,2,2024,abril,4,otoño,1.97,02.01,34.8,24.4,63,0.8,997,32,0,0,0,0,1
2024-04-05,2,2024,abril,5,otoño,1.97,1.96,35.6,23.8,63.3,0,494,76,0,0,0,0,1
2024-04-06,2,2024,abril,6,otoño,2,02.07,35.4,22.8,65.5,0,,,0,0,0,0,1
2024-04-07,2,2024,abril,7,otoño,2,02.07,34.4,21.8,65.2,0,191,3,0,0,0,0,1
2024-04-08,2,2024,abril,8,otoño,1.97,02.01,36.6,24,62.6,0,800,73,0,0,0,0,1
2024-04-09,2,2024,abril,9,otoño,1.81,1.9,34.8,23.4,68.6,0,59,,0,0,0,0,1
2024-04-10,2,2024,abril,10,otoño,1.81,1.9,35.8,22.8,63.4,0,6,,0,0,0,0,1
2024-04-11,2,2024,abril,11,otoño,1.81,1.96,36,23,63.5,0,577,223,0,0,0,0,1
2024-04-12,2,2024,abril,12,otoño,1.78,02.01,35.8,23.6,65.9,0,413,,0,0,0,0,1
2024-04-13,2,2024,abril,13,otoño,1.75,1.96,34.4,23.2,66.5,0,,,0,0,0,0,1
2024-04-14,2,2024,abril,14,otoño,1.75,1.96,34.8,22.8,66.7,0,180,5,0,0,0,0,1
2024-04-15,2,2024,abril,15,otoño,1.78,02.07,33.8,23.8,64.6,0,860,59,0,0,0,0,1
2024-04-16,2,2024,abril,16,otoño,1.86,02.07,33.2,21.6,68.2,0,79,,0,0,0,0,1
2024-04-17,2,2024,abril,17,otoño,1.86,02.07,34.4,21,67.1,0,8,,0,0,0,0,1
2024-04-18,2,2024,abril,18,otoño,1.89,02.01,35.2,22,65.9,0,929,81,0,0,0,0,1
2024-04-19,2,2024,abril,19,otoño,1.86,1.96,33.8,22.6,64,0,611,11,0,0,0,0,1
2024-04-20,2,2024,abril,20,otoño,1.92,1.9,35,23.8,64.3,0,,,0,0,0,0,1
2024-04-21,2,2024,abril,21,otoño,1.92,1.9,34.2,24,62,0.6,91,29,0,0,0,0,1
2024-04-22,2,2024,abril,22,otoño,2,02.07,31,21.8,71.5,0,744,190,0,0,0,0,1
2024-04-23,2,2024,abril,23,otoño,1.92,1.96,33.4,22.2,70.2,0,45,,0,0,0,0,1
2024-04-24,2,2024,abril,24,otoño,1.92,1.96,33.2,22,69.6,0,4,,0,0,0,0,1
2024-04-25,2,2024,abril,25,otoño,1.86,1.9,34.6,22.6,64,0,580,72,1,0,0,0,1
2024-04-26,2,2024,abril,26,otoño,1.89,1.96,35,22.8,61.1,1.5,466,32,0,0,0,0,1
2024-04-27,2,2024,abril,27,otoño,1.89,1.96,34.4,21.6,69.6,1.8,,,0,0,0,0,1
2024-04-28,2,2024,abril,28,otoño,1.89,1.96,34,22.8,67.5,0,167,,0,0,0,0,1
2024-04-29,2,2024,abril,29,otoño,1.94,1.99,34.2,23,65.7,0,750,1,0,0,0,0,1
2024-04-30,2,2024,abril,30,otoño,1.72,1.9,34,21.8,67.9,0,85,,0,0,0,0,1
2024-05-01,2,2024,mayo,1,otoño,1.72,1.9,34.4,21.4,69.7,0,19,57,0,0,0,0,0
2024-05-02,2,2024,mayo,2,otoño,1.72,02.01,31.2,20,68.8,0,589,239,0,0,0,0,0
2024-05-03,2,2024,mayo,3,otoño,1.67,1.9,32,21.8,61.1,0,503,17,0,0,0,0,0
2024-05-04,2,2024,mayo,4,otoño,1.64,1.85,32.8,21,69.4,0,,,0,0,0,0,0
2024-05-05,2,2024,mayo,5,otoño,1.64,1.85,33,21.2,64.3,0,231,24,0,0,0,0,0
2024-05-06,2,2024,mayo,6,otoño,1.67,1.96,32,19.8,68.7,0,564,503,0,0,0,0,0
2024-05-07,2,2024,mayo,7,otoño,1.72,1.9,28.8,20.6,72.8,0,58,1,0,0,0,0,0
2024-05-08,2,2024,mayo,8,otoño,1.72,1.9,31.2,20.2,73,0,7,,0,0,0,0,0
2024-05-09,2,2024,mayo,9,otoño,1.47,1.58,32,20.6,70.7,0,851,34,0,0,0,0,0
2024-05-10,2,2024,mayo,10,otoño,1.42,1.52,29.8,20,73.9,0,542,,0,0,0,0,0
2024-05-11,2,2024,mayo,11,otoño,1.39,1.47,30,19.8,76.1,0,,,0,0,0,0,0
2024-05-12,2,2024,mayo,12,otoño,1.39,1.47,31.6,20.2,68.5,0,210,,0,0,0,0,0
2024-05-13,2,2024,mayo,13,otoño,1.64,02.01,30.8,19.6,72.6,0,476,234,0,0,0,0,0
2024-05-14,2,2024,mayo,14,otoño,1.5,1.58,31.4,19.2,81.9,0,53,3,0,0,0,0,0
2024-05-15,2,2024,mayo,15,otoño,1.5,1.58,31.8,20.8,70.3,0,4,,0,0,0,0,0
2024-05-16,2,2024,mayo,16,otoño,1.36,1.47,31,19.8,71.4,0,595,46,0,0,0,0,0
2024-05-17,2,2024,mayo,17,otoño,1.25,1.52,30.2,20.8,72,0,344,88,0,0,0,0,0
2024-05-18,2,2024,mayo,18,otoño,1.22,1.47,31.4,20.6,75,0,,,0,0,0,0,0
2024-05-19,2,2024,mayo,19,otoño,1.22,1.47,29,19.6,74.2,0,243,1,0,0,0,0,0
2024-05-20,2,2024,mayo,20,otoño,1.22,1.52,27.2,18.6,77.4,0,748,30,0,0,0,0,0
2024-05-21,2,2024,mayo,21,otoño,1.19,1.45,30.8,18,72.5,0,42,1,0,0,0,0,0
2024-05-22,2,2024,mayo,22,otoño,1.19,1.45,29.6,18.6,70.2,0,4,,0,0,0,0,0
2024-05-23,2,2024,mayo,23,otoño,1.22,1.47,31,18.8,73.4,0,807,18,0,0,0,0,0
2024-05-24,2,2024,mayo,24,otoño,1.25,1.36,29,19,73,0,465,66,0,0,0,0,0
2024-05-25,2,2024,mayo,25,otoño,1.19,1.3,29.6,18,76.8,0,,,1,0,0,0,0
2024-05-26,2,2024,mayo,26,otoño,1.19,1.3,29,18.8,74.2,0,105,56,0,0,0,0,0
2024-05-27,2,2024,mayo,27,otoño,1.25,1.36,29.6,17.8,73.2,0,587,153,0,0,0,0,0
2024-05-28,2,2024,mayo,28,otoño,1.22,1.25,30,18.2,69.7,0,52,,0,0,0,0,0
2024-05-29,2,2024,mayo,29,otoño,1.22,1.25,29,17.8,75.7,0,4,,0,0,0,0,0
2024-05-30,2,2024,mayo,30,otoño,1.19,1.3,29.8,18.6,74,0,523,57,0,0,0,0,0
2024-05-31,2,2024,mayo,31,otoño,1.28,1.36,28.8,17.8,74.5,0,454,,1,0,0,0,0
2024-06-01,2,2024,junio,1,otoño,1.25,1.34,29.6,17.6,73.8,0,,,0,0,0,0,0
2024-06-02,2,2024,junio,2,otoño,1.25,1.34,30,17.2,74.9,0,227,,0,0,0,0,0
2024-06-03,2,2024,junio,3,otoño,1.28,1.36,27.4,17.8,81.5,0,705,24,0,0,0,0,0
2024-06-04,2,2024,junio,4,otoño,1.22,1.3,31.2,17,76.1,0,102,4,0,0,0,0,0
2024-06-05,2,2024,junio,5,otoño,1.22,1.3,31.2,18.8,73.8,0,19,,0,0,0,0,0
2024-06-06,2,2024,junio,6,otoño,1.17,1.28,31,18.8,72.1,0,607,171,0,0,0,0,0
2024-06-07,2,2024,junio,7,otoño,1.19,1.3,31,19.2,71.9,0,,,0,0,0,0,0
2024-06-08,2,2024,junio,8,otoño,1.25,1.33,29.8,17.8,73.5,0,,,0,0,0,0,0
2024-06-09,2,2024,junio,9,otoño,1.25,1.33,28,18,73.4,0,175,34,0,0,0,0,0
2024-06-10,2,2024,junio,10,otoño,1.28,1.36,30,19,69.1,0,607,32,0,0,0,0,0
2024-06-11,2,2024,junio,11,otoño,1.39,1.41,31.4,17.6,69.5,0,149,,0,0,0,0,0
2024-06-12,2,2024,junio,12,otoño,1.39,1.41,30.8,18.8,74.7,0,10,,0,0,0,0,0
2024-06-13,2,2024,junio,13,otoño,1.44,1.52,31,19.6,75,0,509,169,0,0,0,0,0
2024-06-14,2,2024,junio,14,otoño,1.39,1.41,32.6,19.8,69.9,0,503,25,0,0,0,0,0
2024-06-15,2,2024,junio,15,otoño,1.5,1.63,28.2,18.8,76.3,0,,,0,0,0,0,0
2024-06-16,2,2024,junio,16,otoño,1.5,1.63,29.2,18,74,0,245,,0,0,0,0,0
2024-06-17,2,2024,junio,17,otoño,1.44,1.58,29.2,17.2,72.8,0,774,32,0,0,0,0,0
2024-06-18,2,2024,junio,18,otoño,1.42,1.47,28.8,18.2,72.4,0,59,,0,0,0,0,0
2024-06-19,2,2024,junio,19,otoño,1.42,1.47,30,16,70.9,0,13,1,0,0,0,0,0
2024-06-20,2,2024,junio,20,otoño,1.47,1.58,30,18.8,71.8,0,693,8,0,0,0,0,0
2024-06-21,2,2024,junio,21,invierno,1.5,1.63,26.8,19,81.4,0,370,103,0,0,0,0,0
2024-06-22,2,2024,junio,22,invierno,1.44,1.52,30.2,18.8,74.4,0,,,0,0,0,0,0
2024-06-23,2,2024,junio,23,invierno,1.44,1.52,29.6,17.8,74.9,0,222,44,0,0,0,0,0
2024-06-24,2,2024,junio,24,invierno,1.5,1.63,28.2,17.6,76.5,0,886,,0,0,0,0,0
2024-06-25,2,2024,junio,25,invierno,1.42,1.58,27.6,17,74.9,0,83,84,0,0,0,0,0
2024-06-26,2,2024,junio,26,invierno,1.42,1.58,30.6,17.8,70.9,0,3,,0,0,0,0,0
2024-06-27,2,2024,junio,27,invierno,1.42,1.52,30.8,18.2,75.1,0,483,220,0,0,0,0,0
2024-06-28,2,2024,junio,28,invierno,1.44,1.55,30.6,19,71.6,0,563,,0,0,0,0,0
2024-06-29,2,2024,junio,29,invierno,1.42,1.58,30.8,18.2,73.6,0,,,0,0,0,0,0
2024-06-30,2,2024,junio,30,invierno,1.42,1.58,31,18.4,72.5,0,252,,0,0,0,0,0
2024-07-01,3,2024,julio,1,invierno,1.47,1.52,28,18.2,72.2,0,633,10,0,0,0,0,0
2024-07-02,3,2024,julio,2,invierno,1.47,1.58,28.4,17.8,75.1,0,83,,0,0,0,0,0
2024-07-03,3,2024,julio,3,invierno,1.47,1.58,29.8,18.2,76.6,0,3,,0,0,0,0,0
2024-07-04,3,2024,julio,4,invierno,1.42,1.47,33.4,17.2,75.7,0,545,61,0,0,0,0,0
2024-07-05,3,2024,julio,5,invierno,1.5,1.58,28.6,20,76.2,0,373,69,0,0,0,0,0
2024-07-06,3,2024,julio,6,invierno,1.44,1.52,30,18.8,78.1,0,,,0,0,0,0,0
2024-07-07,3,2024,julio,7,invierno,1.44,1.52,29.2,18.8,77.7,0,192,65,0,0,0,0,0
2024-07-08,3,2024,julio,8,invierno,1.5,1.63,28,18.6,78.7,0,772,28,0,0,0,0,0
2024-07-09,3,2024,julio,9,invierno,1.47,1.58,27,18.2,76.8,0,107,,0,0,0,0,0
2024-07-10,3,2024,julio,10,invierno,1.47,1.58,27.2,16.8,77.1,0,7,,0,0,0,0,0
2024-07-11,3,2024,julio,11,invierno,1.5,1.63,28,17.8,78.7,0,590,187,1,0,0,0,0
2024-07-12,3,2024,julio,12,invierno,1.5,1.63,29.8,18.4,74.7,0,407,124,0,0,0,0,0
2024-07-13,3,2024,julio,13,invierno,1.47,1.58,28.2,17.8,76.6,0,,,0,0,0,0,0
2024-07-14,3,2024,julio,14,invierno,1.47,1.58,28,17.6,78.1,0,265,22,0,0,0,0,0
2024-07-15,3,2024,julio,15,invierno,1.53,1.68,27.2,17.8,74.5,0,735,97,0,0,0,0,0
2024-07-16,3,2024,julio,16,invierno,1.53,1.74,28.4,14.8,74.4,0,85,32,0,0,0,0,0
2024-07-17,3,2024,julio,17,invierno,1.53,1.74,29.8,15.2,73.7,0,3,,0,0,0,0,0
2024-07-18,3,2024,julio,18,invierno,1.47,1.68,28.2,17.2,72.6,0,696,,0,0,0,0,0
2024-07-19,3,2024,julio,19,invierno,1.47,1.68,28.2,17.8,72.1,0,499,56,0,0,0,0,0
2024-07-20,3,2024,julio,20,invierno,1.5,1.79,24.2,16.8,73.4,0,,,0,0,0,0,0
2024-07-21,3,2024,julio,21,invierno,1.5,1.79,27.6,15.2,70.9,0,124,108,0,0,0,0,0
2024-07-22,3,2024,julio,22,invierno,1.44,1.74,29,15.8,70.1,0,780,,0,0,0,0,0
2024-07-23,3,2024,julio,23,invierno,1.42,1.72,28.8,16.8,72,0,124,,0,0,0,0,0
2024-07-24,3,2024,julio,24,invierno,1.42,1.72,30,17.2,68.8,0,4,,0,0,0,0,0
2024-07-25,3,2024,julio,25,invierno,1.25,1.52,28.2,16.8,71.2,0,802,69,0,0,0,0,0
2024-07-26,3,2024,julio,26,invierno,1.28,1.58,28.2,17,76.5,0,500,,0,0,0,0,0
2024-07-27,3,2024,julio,27,invierno,1.22,1.47,29,14.8,75.2,0,,,0,0,0,0,0
2024-07-28,3,2024,julio,28,invierno,1.22,1.47,28,17.6,75.8,0,,,0,0,0,0,0
2024-07-29,3,2024,julio,29,invierno,1.22,1.47,29.6,16.8,72.4,0,772,97,0,0,0,0,0
2024-07-30,3,2024,julio,30,invierno,1.14,1.36,30.4,17.2,74.8,0,77,,0,0,0,0,0
2024-07-31,3,2024,julio,31,invierno,1.14,1.36,29.6,17.2,76.1,0,7,,0,0,0,0,0
2024-08-01,3,2024,agosto,1,invierno,1.22,1.47,29.4,17.2,76.2,0,388,202,0,0,0,0,0
2024-08-02,3,2024,agosto,2,invierno,1.19,1.41,29.2,17,75.2,0,348,84,0,0,0,0,0
2024-08-03,3,2024,agosto,3,invierno,1.22,1.47,28.2,17.8,77.9,0,,,0,0,0,0,0
2024-08-04,3,2024,agosto,4,invierno,1.22,1.47,27.2,17.8,,0,191,89,1,0,0,0,0
2024-08-05,3,2024,agosto,5,invierno,1.31,1.58,27.2,17.8,74.8,0,750,106,0,0,0,0,0
2024-08-06,3,2024,agosto,6,invierno,1.42,1.47,28.6,17.6,75.4,0,85,33,0,0,0,0,0
2024-08-07,3,2024,agosto,7,invierno,1.42,1.47,27.6,17.8,76.7,0,62,,0,0,0,0,0
2024-08-08,3,2024,agosto,8,invierno,1.39,1.41,28.6,17,74.7,0,851,29,0,0,0,0,0
2024-08-09,3,2024,agosto,9,invierno,1.33,1.47,29.6,16.4,71.6,0,528,1,0,0,0,0,0
2024-08-10,3,2024,agosto,10,invierno,1.36,1.52,29,17.8,75.7,0,,,0,0,0,0,0
2024-08-11,3,2024,agosto,11,invierno,1.36,1.52,27.2,18,78.8,0,280,72,0,0,0,0,0
2024-08-12,3,2024,agosto,12,invierno,1.36,1.58,28.6,17.2,73.6,0,631,235,0,0,0,0,0
2024-08-13,3,2024,agosto,13,invierno,1.31,1.47,29,16,73.7,0,139,,0,0,0,0,0
2024-08-14,3,2024,agosto,14,invierno,1.31,1.47,30.6,17.8,71.6,0,4,,0,0,0,0,0
2024-08-15,3,2024,agosto,15,invierno,1.36,1.58,25.8,17,72.9,0,736,75,0,0,0,0,0
2024-08-16,3,2024,agosto,16,invierno,1.33,1.52,27.8,16.8,78,0,509,59,0,0,0,0,0
2024-08-17,3,2024,agosto,17,invierno,1.32,1.55,27.4,15.6,73.2,0,,,0,0,0,0,0
2024-08-18,3,2024,agosto,18,invierno,1.32,1.55,28.8,16,68,0,177,53,0,0,0,0,0
2024-08-19,3,2024,agosto,19,invierno,1.35,1.58,30.2,16.6,71.8,0,1050,,0,0,0,0,0
2024-08-20,3,2024,agosto,20,invierno,1.33,1.51,28,17.6,75.5,0,97,92,0,0,0,0,0
2024-08-21,3,2024,agosto,21,invierno,1.32,1.46,27.2,17.4,75.1,0,5,2,0,0,0,0,0
2024-08-22,3,2024,agosto,22,invierno,1.19,1.3,28,17.8,75.4,0,764,3,0,0,0,0,0
2024-08-23,3,2024,agosto,23,invierno,1.17,1.33,25.2,17.4,78,0,448,39,0,0,0,0,0
2024-08-24,3,2024,agosto,24,invierno,1.22,1.43,28.6,16.4,74.5,0,,,0,0,0,0,0
2024-08-25,3,2024,agosto,25,invierno,1.22,1.43,30.8,17.2,70.9,0,188,,0,0,0,0,0
2024-08-26,3,2024,agosto,26,invierno,1.19,1.36,29.2,17.8,71.6,0,698,215,0,0,0,0,0
2024-08-27,3,2024,agosto,27,invierno,1.31,1.34,30,18,75.1,0,89,,0,0,0,0,0
2024-08-28,3,2024,agosto,28,invierno,1.31,1.34,28.8,17.2,71.2,0,5,,0,0,0,0,0
2024-08-29,3,2024,agosto,29,invierno,1.26,1.3,27.8,17,75.4,0,734,,0,0,0,0,0
2024-08-30,3,2024,agosto,30,invierno,1.28,1.36,26.4,17,74.7,0,,,0,0,0,0,0
2024-08-31,3,2024,agosto,31,invierno,1.25,1.28,28,17.2,72.7,0,,,0,0,0,0,0
2024-09-01,3,2024,septiembre,1,invierno,1.25,1.28,27.2,16,74.9,0,216,31,0,0,0,0,0
2024-09-02,3,2024,septiembre,2,invierno,1.27,1.36,28,16.2,73.2,0,872,84,0,0,0,0,0
2024-09-03,3,2024,septiembre,3,invierno,1.33,1.41,27.2,16.8,76.3,0,105,34,0,0,0,0,0
2024-09-04,3,2024,septiembre,4,invierno,1.33,1.41,27.2,16.4,74.6,0,,,0,0,0,0,0
2024-09-05,3,2024,septiembre,5,invierno,1.32,1.38,29,16.8,74.2,0,406,495,0,0,0,0,0
2024-09-06,3,2024,septiembre,6,invierno,1.36,1.38,29.4,15,72.8,0,337,188,0,0,0,0,0
2024-09-07,3,2024,septiembre,7,invierno,1.31,1.36,30.8,16.8,68.4,0,,,0,0,0,0,0
2024-09-08,3,2024,septiembre,8,invierno,1.31,1.36,30.2,16.8,70.2,0,270,31,0,0,0,0,0
2024-09-09,3,2024,septiembre,9,invierno,1.32,1.41,30.2,17.2,74.1,0,580,379,0,0,0,0,0
2024-09-10,3,2024,septiembre,10,invierno,1.39,1.45,30.4,17.4,75.5,0,78,58,0,0,0,0,0
2024-09-11,3,2024,septiembre,11,invierno,1.39,1.45,29.8,17.8,76.1,0,4,3,0,0,0,0,0
2024-09-12,3,2024,septiembre,12,invierno,1.37,1.41,30.4,17.2,68.4,0,710,17,0,0,0,0,0
2024-09-13,3,2024,septiembre,13,invierno,1.39,1.43,29.6,16.8,74,0,533,8,0,0,0,0,0
2024-09-14,3,2024,septiembre,14,invierno,1.42,1.47,28,17,74.2,0,,,0,0,0,0,0
2024-09-15,3,2024,septiembre,15,invierno,1.42,1.47,28.2,16.6,72.7,0,111,200,0,0,0,0,0
2024-09-16,3,2024,septiembre,16,invierno,1.39,1.41,29.2,16,72.5,0,994,124,0,0,0,0,0
2024-09-17,3,2024,septiembre,17,invierno,1.36,1.38,30.8,17.8,70.5,0,153,4,1,0,0,0,0
2024-09-18,3,2024,septiembre,18,invierno,1.36,1.38,29,18.6,70.6,0,32,,0,0,0,0,0
2024-09-19,3,2024,septiembre,19,invierno,1.42,1.47,29.6,17.8,72.9,0,795,45,0,0,0,0,0
2024-09-20,3,2024,septiembre,20,invierno,1.44,1.52,28.6,18,74.6,0,475,35,0,0,0,0,0
2024-09-21,3,2024,septiembre,21,primavera,1.47,1.52,30,18.8,73.6,0,,,0,0,0,0,0
2024-09-22,3,2024,septiembre,22,primavera,1.47,1.52,29.8,18,67.3,0,200,95,0,0,0,0,0
2024-09-23,3,2024,septiembre,23,primavera,1.5,1.58,31.2,18,69.7,0,701,220,0,0,0,0,0
2024-09-24,3,2024,septiembre,24,primavera,1.47,1.52,29.8,18.4,68.8,0,120,31,0,0,0,0,0
2024-09-25,3,2024,septiembre,25,primavera,1.47,1.52,29.2,16.8,71.3,0,3,,0,0,0,0,0
2024-09-26,3,2024,septiembre,26,primavera,1.44,1.58,30,17.6,68,0,519,180,0,0,0,0,0
2024-09-27,3,2024,septiembre,27,primavera,1.58,1.68,29.8,17.4,69.2,0,242,191,0,0,0,0,0
2024-09-28,3,2024,septiembre,28,primavera,1.61,1.79,28.2,18.2,,0,,,0,0,0,0,0
2024-09-29,3,2024,septiembre,29,primavera,1.61,1.79,29.8,17.6,70.5,0,286,32,0,0,0,0,0
2024-09-30,3,2024,septiembre,30,primavera,1.67,1.79,31.2,18.4,68.9,0,810,181,0,0,0,0,0
2024-10-01,4,2024,octubre,1,primavera,1.78,1.96,30.2,18,68.1,0,148,62,0,0,0,0,0
2024-10-02,4,2024,octubre,2,primavera,1.78,1.96,31,18,67.7,0,4,,0,0,0,0,0
2024-10-03,4,2024,octubre,3,primavera,1.83,02.01,33,18.4,67.5,0,808,4,0,0,0,0,0
2024-10-04,4,2024,octubre,4,primavera,1.69,1.79,31.8,18.4,72.9,0,615,10,0,0,0,0,0
2024-10-05,4,2024,octubre,5,primavera,1.72,1.74,34.2,18,70.3,0,,,1,0,0,0,0
2024-10-06,4,2024,octubre,6,primavera,1.72,1.74,31.2,18.8,69.6,0,252,63,0,0,0,0,0
2024-10-07,4,2024,octubre,7,primavera,1.75,1.79,30.2,18,67.8,0,688,250,0,0,0,0,0
2024-10-08,4,2024,octubre,8,primavera,1.78,1.85,30,18.6,66.6,0,156,26,0,0,0,0,0
2024-10-09,4,2024,octubre,9,primavera,2.33,2.93,29,18.2,69.5,0,29,1,0,0,0,0,0
2024-10-10,4,2024,octubre,10,primavera,2.28,2.83,29.2,18.4,71,0,824,33,0,0,0,0,0
2024-10-11,4,2024,octubre,11,primavera,2.22,2.61,30,18.2,69.6,0,156,281,0,0,0,0,0
2024-10-12,4,2024,octubre,12,primavera,2.22,2.61,31,18,69.7,0,,,0,0,0,0,0
2024-10-13,4,2024,octubre,13,primavera,2.22,2.61,30.4,18,68.8,0,251,,0,0,0,0,0
2024-10-14,4,2024,octubre,14,primavera,2.19,2.55,28.2,17.06,71.4,0,937,1,0,0,0,0,0
2024-10-15,4,2024,octubre,15,primavera,2.31,2.77,30.2,18,69.1,0,44,22,0,0,0,0,0
2024-10-16,4,2024,octubre,16,primavera,2.31,2.77,30.6,17.2,70.4,0,11,,0,0,0,0,0
2024-10-17,4,2024,octubre,17,primavera,2.56,2.88,29.4,17.8,69.1,0,988,167,0,0,0,0,0
2024-10-18,4,2024,octubre,18,primavera,2.5,2.77,31,17.2,70.2,0,498,112,0,0,0,0,0
2024-10-19,4,2024,octubre,19,primavera,2.31,2.45,30.2,18.2,68.9,0,,,0,0,0,0,0
2024-10-20,4,2024,octubre,20,primavera,2.31,2.45,29.2,18.8,69.7,0,222,163,0,0,0,0,0
2024-10-21,4,2024,octubre,21,primavera,2.17,2.39,32,17.6,65.6,0,850,80,0,0,0,0,0
2024-10-22,4,2024,octubre,22,primavera,02.08,2.34,30.4,18.4,70.8,0,161,99,1,0,0,0,0
2024-10-23,4,2024,octubre,23,primavera,02.08,2.34,29,17.2,74.8,0,91,21,1,0,0,0,0
2024-10-24,4,2024,octubre,24,primavera,2.11,2.55,28.8,18.8,71.2,0,592,,0,0,0,0,0
2024-10-25,4,2024,octubre,25,primavera,2.17,2.61,29,18.8,74.2,0,301,30,0,0,0,0,0
2024-10-26,4,2024,octubre,26,primavera,2.28,2.72,31,19,64.7,0,,,0,0,0,0,0
2024-10-27,4,2024,octubre,27,primavera,2.28,2.72,30.6,17.8,68.9,0,206,179,0,0,0,0,0
2024-10-28,4,2024,octubre,28,primavera,2.33,2.75,30,18,69,0,1176,35,0,0,0,0,0
2024-10-29,4,2024,octubre,29,primavera,1.94,2.45,30.8,17.8,67.6,0,227,32,0,0,0,0,0
2024-10-30,4,2024,octubre,30,primavera,1.94,2.45,30.2,18.6,70.2,0,5,32,0,0,0,0,0
2024-10-31,4,2024,octubre,31,primavera,1.92,2.23,30.4,17.2,67.9,0,882,38,0,0,0,0,0
2024-11-01,4,2024,noviembre,1,primavera,1.89,2.17,30.4,18.2,71.2,0,,,0,0,0,0,0
2024-11-02,4,2024,noviembre,2,primavera,1.86,2.12,26.6,18.6,74.3,0,,,0,0,0,0,0
2024-11-03,4,2024,noviembre,3,primavera,1.86,2.12,29,19,69.5,0,65,134,0,0,0,0,0
2024-11-04,4,2024,noviembre,4,primavera,1.89,2.17,30.2,19.4,71.3,0,664,144,0,0,0,0,0
2024-11-05,4,2024,noviembre,5,primavera,1.86,02.01,28.8,19.2,78.2,0,37,31,0,0,0,0,0
2024-11-06,4,2024,noviembre,6,primavera,1.86,02.01,26.4,19,80.1,0,1,4,0,0,0,0,0
2024-11-07,4,2024,noviembre,7,primavera,2,02.07,29.6,18.6,73.3,0,732,346,0,0,0,0,0
2024-11-08,4,2024,noviembre,8,primavera,1.97,02.01,28.2,18.4,73.1,0,561,63,0,0,0,0,0
2024-11-09,4,2024,noviembre,9,primavera,2,02.07,29.2,18.8,71.9,0,,,0,0,0,0,0
2024-11-10,4,2024,noviembre,10,primavera,2,02.07,26.2,18,78.7,0,224,166,0,0,0,0,0
2024-11-11,4,2024,noviembre,11,primavera,1.89,1.96,31.2,16.4,74.4,0,1055,132,0,0,0,0,0
2024-11-12,4,2024,noviembre,12,primavera,1.44,1.52,30,19.8,70.8,0,256,27,1,0,0,0,0
2024-11-13,4,2024,noviembre,13,primavera,1.14,1.36,31.8,19.8,68.2,0,80,1,0,0,0,0,0
2024-11-14,4,2024,noviembre,14,primavera,1.11,1.33,30,18.6,72.8,0,620,12,0,0,0,0,0
2024-11-15,4,2024,noviembre,15,primavera,1.19,1.34,29,17.8,73.6,0,301,61,0,0,0,0,0
2024-11-16,4,2024,noviembre,16,primavera,1.22,1.3,31.8,19.8,65.4,0,,,0,0,0,0,0
2024-11-17,4,2024,noviembre,17,primavera,1.22,1.3,31.8,20.6,62.8,0,64,80,0,0,0,0,0
2024-11-18,4,2024,noviembre,18,primavera,1.25,1.36,31.4,20.2,70.4,0,1080,100,0,0,0,0,0
2024-11-19,4,2024,noviembre,19,primavera,1.24,1.3,30.6,19,70.6,0,156,13,0,0,0,0,0
2024-11-20,4,2024,noviembre,20,primavera,1.24,1.3,32,17,66.6,0,32,,0,0,0,0,0
2024-11-21,4,2024,noviembre,21,primavera,1.22,1.28,29.2,18.8,68.6,0,941,85,0,0,0,0,0
2024-11-22,4,2024,noviembre,22,primavera,1.25,1.36,32,18.6,66.8,0,515,36,0,0,0,0,0
2024-11-23,4,2024,noviembre,23,primavera,1.22,1.33,30.2,19.8,72.3,0,,,0,0,0,0,0
